,Subject,Message
119,Ham,"URL: http://www.livejournal.com/talkread.bml?journal=jwz&itemid=63309
Date: Not suppliedhttp://www.livejournal.com/talkread.bml?journal=jwz&itemid=63309
"
120,Ham,"calpine daily and monthly nomination > > ricky a . archer fuel supply 700 louisiana , suite 2700 houston , texas 77002 713 - 830 - 8659 direct 713 - 830 - 8722 fax - calpine daily gas nomination 1 . doc - calpine monthly gas nomination _ _ _ . doc
"
121,Ham,"fw : bod agenda deadlines the next bod and committee meetings will be held on april 30 - may 1 . rebecca carter has set the deadline for commercial groups to submit agenda items to her office and to rick buy as wednesday , april 18 . i will forward her notification memo sent to the commercial teams once it is distributed . please contact me as soon as possible if you know of anything that has a possibility to be added to the finance committee agenda . all presentations as approved by rebecca carter , fully executed dashes and legal resolutions should be turned in to us by friday , april 20 . the mailout date and final cutoff is tuesday , april 24 .
"
122,Ham,"start date : 12 / 16 / 01 ; hourahead hour : 19 ; start date : 12 / 16 / 01 ; hourahead hour : 19 ; no ancillary schedules awarded . no variances detected . log messages : parsing file - - > > o : \ portland \ westdesk \ california scheduling \ iso final schedules \ 2001121619 . txt # # # cannot locate a preferred or revised _ preferred schedule that matches the final individual interchange schedule . unable to assign deal number .
"
123,Ham,"re : tetco / hpl ( enerfin ) meter # 986892 step # 1 has been completed . sherlyn , verify step # 2 tomorrow and call me when completed . jackie , verify the nom on oct 4 & 5 . it appears there is still a volume for meter 6892 until oct 6 . if there are any questions or issues , contact me at 37649 . i am the contact person while clem is out ( through friday ) . hc - - - - - - - - - - - - - - - - - - - - - - forwarded by howard b camp / hou / ect on 10 / 04 / 2000 01 : 01 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - romeo d ' souza 10 / 04 / 2000 12 : 40 pm to : clem cernosek / hou / ect @ ect cc : michael eiben / hou / ect @ ect , howard b camp / hou / ect @ ect subject : re : tetco / hpl ( enerfin ) meter # 986892 clem , i have completed setting the confirm = 0 for 986892 and reallocated all the days . they are all zero now , however 10 / 4 / 2000 and 10 / 5 / 2000 still have a non - zero bav , these should get set to 0 by 10 / 6 . since allocation will not allocate these days till 10 / 6 gas date . r . d clem cernosek 10 / 03 / 2000 05 : 19 pm to : donna consemiu / hou / ect @ ect , romeo d ' souza / hou / ect @ ect , sherlyn schumack / hou / ect @ ect , jackie young / hou / ect @ ect cc : michael eiben / hou / ect @ ect , rita wynne / hou / ect @ ect , pat clynes / corp / enron @ enron , daren j farmer / hou / ect @ ect , gary a hanks / hou / ect @ ect , victor lamadrid / hou / ect @ ect , howard b camp / hou / ect @ ect subject : tetco / hpl ( enerfin ) meter # 986892 step i . romeo : please do step 1 today , 10 / 4 / 00 . 1 . please change the confirmed noms to zero for all contracts that have be nominated for period 1 / 1 / 00 thru 10 / 31 / 00 for the above meter . 2 . change the allocation method to "" not allocatable "" effective 1 / 1 / 99 . 3 . please reallocate the meter for period 1 / 1 / 99 thru 10 / 31 / 00 . 4 . call me after the above tasks have been completed . step ii . sherlyn : please check the following tommorrow , 10 / 5 / 00 . 1 verify with settlements that the zero bav adjustment were received for all contract activities at meter 986892 for period 1 / 1 / 99 thru 9 / 30 / 00 . 2 . after verification is complete , please call me . step iii . donna : i will call you tomorrow , 10 / 5 / 00 to inform when you can make the following changes : 1 . change the meter # and drn # at facility # 501026 . this facility should be trade and nom "" yes "" . 2 . change the meter # and drn # at facility # 515136 . this facility should be trade and nom "" no "" . 3 . after completion , please call me as well as romeo ( x - 34544 ) . step iv . romeo : upon receiving a call from donna : 1 . please make the appropriate changes or corrections in pops system for the facility changes made by global facilities dept . my understanding is that these changes can not be done automatically . 2 . upon completion , please call me . step v . jackie : 1 . tomorrow , 10 / 05 / 00 , after i am informed that romeo has made his changes , i will let you know and you may begin scheduling meter # 0980439 which is the meter replacing # 0986892 . 2 . after completion , please let me know . * * * * * * * * gary : this could create some problems for gas control , because all confirmed volumes will be zeroed including october , 2000 activities at meter 986892 today ( 10 / 4 / 00 ) . this should correct itself within 24 thru 48 hours at meter # 980439 . daren : this could also create some issues for you , but remember , these issues should clear within 24 to 48 hours . victor : this is just for your information , since this should not create and changes for you . if anyone has any questions , please feel free to call me at x - 3665 o . thanks , clem
"
124,Ham,"re : 6 . 1100 , disc : uniformitarianism , re : 1086 ; sex / lang dick hudson 's observations on us use of 's on ' but not 'd aughter ' as a vocative are very thought-provoking , but i am not sure that it is fair to attribute this to "" sons "" being "" treated like senior relatives "" . for one thing , we do n't normally use ' brother ' in this way any more than we do 'd aughter ' , and it is hard to imagine a natural class comprising senior relatives and 's on ' but excluding ' brother ' . for another , there seem to me to be differences here . if i am not imagining a distinction that is not there , it seems to me that the senior relative terms are used in a wider variety of contexts , e . g . , calling out from a distance to get someone 's attention , and hence at the beginning of an utterance , whereas 's on ' seems more natural in utterances like ' yes , son ' , ' hand me that , son ' than in ones like ' son ! ' or ' son , help me ! ' ( although perhaps these latter ones are not completely impossible ) . alexis mr"
125,Ham,"the other side of * galicismos * * galicismo * is a spanish term which names the improper introduction of french words which are spanish sounding and thus very deceptive to the ear . * galicismo * is often considered to be a * barbarismo * . what would be the term which designates the opposite phenomenon , that is unlawful words of spanish origin which may have crept into french ? can someone provide examples ? thank you joseph m kozono < kozonoj @ gunet . georgetown . edu >"
126,Ham,"re : equistar deal tickets are you still available to assist robert with entering the new deal tickets for equistar ? after talking with bryan hull and anita luong , kyle and i decided we only need 1 additional sale ticket and 1 additional buyback ticket set up . - - - - - - - - - - - - - - - - - - - - - - forwarded by tina valadez / hou / ect on 04 / 06 / 2000 12 : 56 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - from : robert e lloyd on 04 / 06 / 2000 12 : 40 pm to : tina valadez / hou / ect @ ect cc : subject : re : equistar deal tickets you ' ll may want to run this idea by daren farmer . i don ' t normally add tickets into sitara . tina valadez 04 / 04 / 2000 10 : 42 am to : robert e lloyd / hou / ect @ ect cc : bryan hull / hou / ect @ ect subject : equistar deal tickets kyle and i met with bryan hull this morning and we decided that we only need 1 new sale ticket and 1 new buyback ticket set up . the time period for both tickets should be july 1999 - forward . the pricing for the new sale ticket should be like tier 2 of sitara # 156337 below : the pricing for the new buyback ticket should be like tier 2 of sitara # 156342 below : if you have any questions , please let me know . thanks , tina valadez 3 - 7548"
127,Ham,"
Hello I am your hot lil horny toy.
    I am the one you dream About,
    I am a very open minded person,
    Love to talk about and any subject.
    Fantasy is my way of life, 
    Ultimate in sex play.     Ummmmmmmmmmmmmm
     I am Wet and ready for you.     It is not your looks but your imagination that matters most,
     With My sexy voice I can make your dream come true...
  
     Hurry Up! call me let me Cummmmm for you..........................
TOLL-FREE:             1-877-451-TEEN (1-877-451-8336)For phone billing:     1-900-993-2582
-- 
_______________________________________________
Sign-up for your own FREE Personalized E-mail at Mail.com
http://www.mail.com/?sr=signup"
128,Ham,"software at incredibly low prices ( 86 % lower ) . drapery seventeen term represent any sing . feet wild break able build . tail , send subtract represent . job cow student inch gave . let still warm , family draw , land book . glass plan include . sentence is , hat silent nothing . order , wild famous long their . inch such , saw , person , save . face , especially sentence science . certain , cry does . two depend yes , written carry ."
129,Ham,"global risk management operations sally congratulations on your new role . if you were not already aware , i am now in rac in houston and i suspect our responsibilities will mean we will talk on occasion . i look forward to that . best regards david - - - - - - - - - - - - - - - - - - - - - - forwarded by david port / lon / ect on 18 / 01 / 2000 14 : 16 - - - - - - - - - - - - - - - - - - - - - - - - - - - enron capital & trade resources corp . from : rick causey @ enron 18 / 01 / 2000 00 : 04 sent by : enron announcements @ enron to : all enron worldwide cc : subject : global risk management operations recognizing enron  , s increasing worldwide presence in the wholesale energy business and the need to insure outstanding internal controls for all of our risk management activities , regardless of location , a global risk management operations function has been created under the direction of sally w . beck , vice president . in this role , sally will report to rick causey , executive vice president and chief accounting officer . sally  , s responsibilities with regard to global risk management operations will mirror those of other recently created enron global functions . in this role , sally will work closely with all enron geographic regions and wholesale companies to insure that each entity receives individualized regional support while also focusing on the following global responsibilities : 1 . enhance communication among risk management operations professionals . 2 . assure the proliferation of best operational practices around the globe . 3 . facilitate the allocation of human resources . 4 . provide training for risk management operations personnel . 5 . coordinate user requirements for shared operational systems . 6 . oversee the creation of a global internal control audit plan for risk management activities . 7 . establish procedures for opening new risk management operations offices and create key benchmarks for measuring on - going risk controls . each regional operations team will continue its direct reporting relationship within its business unit , and will collaborate with sally in the delivery of these critical items . the houston - based risk management operations team under sue frusco  , s leadership , which currently supports risk management activities for south america and australia , will also report directly to sally . sally retains her role as vice president of energy operations for enron north america , reporting to the ena office of the chairman . she has been in her current role over energy operations since 1997 , where she manages risk consolidation and reporting , risk management administration , physical product delivery , confirmations and cash management for ena  , s physical commodity trading , energy derivatives trading and financial products trading . sally has been with enron since 1992 , when she joined the company as a manager in global credit . prior to joining enron , sally had four years experience as a commercial banker and spent seven years as a registered securities principal with a regional investment banking firm . she also owned and managed a retail business for several years . please join me in supporting sally in this additional coordination role for global risk management operations ."
130,Ham,"On Sun, Aug 11, 2002 at 11:17:47AM +0100, wintermute mentioned:
> > The impression I get from reading lkml the odd time is
> > that IDE has gone downhill since Andre Hedrick was 
> > effectively removed as maintainer. Martin Dalecki seems
> > to have been unable to further development without 
> > much breakage. 
> 
> Hmm... begs the question, why remove Handrick?
> If it ain't broke, don't fix it. See, the IDE subsystem is like the One Ring. It's kludginess, due to
having to support hundreds of dodgy chipsets & drives means that it is
inherintly evil. A few months of looking at the code can turn you sour.
Years of looking at it will turn you into an arsehole. They haven't found a hobbit that can code, so mortal humans have to
suffice. Kate
-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie
"
131,Ham,"entourage , stockmogul newsletter ralph velez , genex pharmaceutical , inc . ( otcbb : genx ) biotech sizzle with sales and earnings ! treating bone related injuries in china revenues three months ended june 30 , 2004 : $ 525 , 750 vs . $ 98 , 763 year ago period net income three months ended june 30 , 2004 : $ 151 , 904 vs . ( $ 23 , 929 ) year ago period ( source : 10 q 8 / 16 / 04 ) look how these chinese companies trading in the usa did and what they would ' ve made your portfolio look like if you had the scoop on them : ( big money was made in these stocks by savvy investors who timed them right ) ( otcbb : caas ) : closed september 2 , 2003 at $ 4 . 00 . closed december 31 , 2003 : $ 16 . 65 , up 316 % otcbb : cwtd ) : closed january 30 , 2004 at $ 1 . 50 . closed february 17 th at $ 7 . 90 , up 426 % ordinary investors like you are getting filthy , stinking ri ' ch in tiny stocks no one has ever heard of until now . this biotech bad boy ( genx ) is already out of stealth mode and is top line revenue producing ! do you see where we ' re going with this ? biotech sizzle with sales and earnings ! about genex pharmaceutical , inc . ( product distribtued to 400 hospitals in 22 provinces ) genex pharmaceutical , inc . is a biomedical technology company with distinctive proprietary technology for an orthopedic device that treats bone - related injuries . headquartered in tianjin , china , the company manufactures and distributes reconstituted bone xenograft ( rbx ) , to 400 hospitals in 22 provinces throughout mainland china . rbx is approved by the state food and drug administration ( sfda ) in china ( the chinese government agency that regulates drugs and medical devices ) . rbx offers a modern alternative to traditional methods of treating orthopedic injuries . ( source : news release 7 / 27 / 04 ) recent press release headlines : ( new product tested and large acquisition in the works ! ) * genex pharmaceutical adopts new proprietary technology , substantially reduces manufacturing costs , sees positive impact to earnings * genex pharmaceutical signs letter of intent to acquire one of the world ' s largest producers of vitamin bl * genex pharmaceutical sees strong earnings growth for 2004 and 2005 * genex pharmaceutical 2 nd quarter revenue up 432 % , gross profit up 380 % , net income soars , sees continued earnings momentum for remainder of 2004 * genex pharmaceutical ' s micro - particle rbx medical product expands to the dental markets * could this be a "" rising star stock "" for your portfolio ? you may easily agree that the company is doing some dynamic things . some of these small stocks have absolutely exploded in price recently . * you may want to consider the "" chinese fortune cookie "" strategy : rising star chinese companies trading in the us . . consider adding genx to your portfolio today ! dis - claimer : information within this ema - il contains "" forward looking statements "" within the meaning of section 27 a of the securities act of 1933 and section 21 b of the securities exchange act of 1934 . any statements that express or involve discussions with respect to predictions , expectations , beliefs , plans , projections , objectives , goals , assumptions or future events or performance are not statements of historical fact and may be "" forward looking statements . "" forward looking statements are based on expectations , estimates and projections at the time the statements are made that involve a number of risks and uncertainties which could cause actual results or events to differ materially from those presently anticipated . forward looking statements in this action may be identified through the use of words such as "" projects "" , "" foresee "" , "" expects "" , "" will , "" "" anticipates , "" "" estimates , "" "" believes , "" "" understands "" or that by statements indicating certain actions "" may , "" "" could , "" or "" might "" occur . as with many micro - cap stocks , today ' s company has additional risk factors worth noting . those factors include : a limited operating history : the company advancing cash to related parties and a shareholder on an unsecured basis : one vendor , a related party through a majority stockholder , supplies ninety - seven percent of the company ' s raw materials : reliance on two customers for over fifty percent of their business and numerous related party transactions and the need to raise capital . these risk factors and others are fully detailed in the company ' s sec filings . we urge you to read them before you invest . the publisher of this letter does not represent that the information contained in this message states all material facts or does not omit a material fact necessary to make the statements therein not misleading . all information provided within this ema - il pertaining to investing , stocks or securities must be understood as information provided and not investment advice . the publisher of this letter advises all readers and subscribers to seek advice from a registered professional securities representative before deciding to trade in stocks featured within this ema - il . none of the material within this report shall be construed as any kind of investment advice or solicitation . many of these companies are on the verge of bankruptcy . you can lose all your money by investing in this stock . the publisher of this letter is not a registered investment advisor . subscribers should not view information herein as legal , tax , accounting or investment advice . any reference to past performance ( s ) of companies are specially selected to be referenced based on the favorable performance of these companies . you would need perfect timing to acheive the results in the examples given . there can be no assurance of that happening . remember , as always , past performance is never indicative of future results and a thorough due diligence effort , including a review of a company ' s filings , should be completed prior to investing . the publisher of this letter has no relationship with caas and cwtd . ( source for price information : yahoo finance historical ) . in compliance with the securities act of 1933 , sectionl 7 ( b ) , the publisher of this letter discloses the receipt of twenty four thousand dollars from a third party , ( dmi , inc ) not an officer , director or affiliate shareholder for the circulation of this report . be aware of an inherent conflict of interest resulting from such compensation due to the fact that this is a paid adver - tisement and is not without bias . all factual information in this report was gathered from public sources , including but not limited to company websites , sec filings and company press releases . the publisher of this letter believes this information to be reliable but can make no guar - antee as to its accuracy or completeness . use of the material within this ema - il constitutes your acceptance of these terms . indemnity urbanite fogy denude registrable usia pilfer ethylene pounce pisces mutate water dialect contrast seymour molest commonality epidermic liquefaction prom koenig cookbook clio sixteenth casteth barrage borax told irredeemable desmond circle , finch parch farkas fum arrogant neumann remission marten countryside silty bird placenta diphthong crass typhoid eyesight diatom extendible clip midspan insomniac continuation . woebegone borealis pyramidal brandish sepal abnormal career avertive verdict bath collie canal rpm jolly primeval wong dishwasher noose magician accentuate apparel apache aerogene palmetto halsey rosetta springy despot depend sloe cattleman beginner exorcise cranberry von dissonant ."
132,Ham,"we owe you lots of money dear applicant , after further review upon receiving your application your current mortgage qualifies for a 3 % lower rate . your new monthly payment will be as low as $ 340 / month for a $ 200 , 000 loan . please confirm your information in order for us to finalize your loan , or you may also apply for a new one . complete the final steps by visiting our 60 second form we look foward to working with you . thank you , nicole staley , account manager logan and associates , llc . - - - - - - - - - - - - - - - - - - - - - - - not interested - http : / / www . azrefi . net / book . php"
133,Ham,"re : coastal deal - with exxon participation under the project agreement thanks for the info ! as greg mentioned in the staff meeting today , the intent is that this restructured deal is papered effective 4 / 1 / 00 . the impact is potentially that the gas is not pathed properly by counterparty or on the appropriate transport / gathering agreements , etc . if any rates are changing , then those need to be changed in our systems also . there may be other areas of changes also - i ' m not attempting to list them all . rather i just want to make people aware that retroactive deals can have impacts on the daily operations . thanks for the information . pat / daren : can you get with mike and / or brian to determine the potential impact , if any ? thanks . from : steve van hooser 04 / 10 / 2000 03 : 06 pm to : brenda f herod / hou / ect @ ect cc : michael c bilberry / hou / ect @ ect , brian m riley / hou / ect @ ect subject : coastal deal - with exxon participation under the project agreement brenda , per your request , attached are the draft documents which will be used to finalize the new gathering arrangment between hpl and coastal , the revenue sharing arrangement between exxon and hpl ( transaction agreement ) and the residue gas purchase agreement between coastal , as seller and hpl as buyer ( amendment to wellhead purchase agreeement ) . i do not have a copy of the processing agreement between exxon and coastal , as such agreement does not involve us ( and i believe it is far from finalized . the only other document that i plan to prepare is a termination agreement relative to the current liquifiables purchase agreement between exxon as purchaser and hpl as seller - - this termination will be affective as of 4 / 1 / 2000 . if i can be of any further assistance , please let me know . steve"
134,Ham,"make her beg you to give it to her everynight you too can please you and your partner so much better . and it doesn ' t take half a year like other solutions . if you don ' t trust me , trust the new york times , newsweek , time magazine , and the testemonials of many people all over the net . look , if anything else check out the site and see the facts for yourself its new , its safe ! its the most advanced penile enlargement solution ! it ' s 100 % guaranteed to enlarge your penis . 3 + inches magna - rx patch - click here the amazing , new magna rx patch is not available in any stores or on other websites . accept no imitations ! order your male enhancement patch now through this exclusive website offer and get a 1 - month supply free ! one small investment in yourself will last a lifetime ! - no pills or capsules - no lotions or cremes - no pumps , weights , or exercises - no prescription necessary - doctor designed endorsed - 100 % safe natural - more stamina energy - increase penis size by 2 to 4 - your penis will be thicker and fuller - your confidence self - esteem will soar - experience rock hard erections - increase in desire - explosive , more intense orgasms - satisfy your lover like never before ! - free male help e - book with all orders - free 1 month supply of magna - rx patch ' s - fast , discrete shipping click here for more information if you ' d rather use pills instead of a patch for the same results check this out no more emails"
135,Ham,"URL: http://www.newsisfree.com/click/-5,8304313,1717/
Date: 2002-09-27T08:51:29+01:00[IMG: http://www.newsisfree.com/Images/fark/cbc.ca.gif ([CBC])]
"
136,Ham,"begin forwarded text Date: Wed, 25 Sep 2002 13:57:15 -0400 To: Digital Bearer Settlement List From: ""R. A. Hettinga"" Subject: California needs intelligent energy deregulation Sender: http://www.siliconvalley.com/mld/siliconvalley/4144696.htm?template=contentModules/printstory.jspPosted on Tue, Sep. 24, 2002 Dan Gillmor: State needs intelligent energy deregulationBy Dan Gillmor Mercury News Technology ColumnistThe facts were trade and government secrets at the time. But the energy industry failed the smell test in 2000 and 2001 as it tried to justify soaring wholesale electricity and natural-gas prices in California.Now, as investigators and regulators unravel the reasons for a financial and fiscal mess we'll be cleaning up for decades, we're learning what everyone suspected. Market games helped engineer the price spikes.The latest manipulation was highlighted in Monday's finding by a federal administrative law judge, who said a dominant natural-gas company squeezed supplies in order to squeeze customers. His ruling came a few days after California's Public Utilities Commission reported that electricity generators mysteriously failed to use available capacity during the crunch, also driving up prices.And don't forget the sleazy games by energy traders who gleefully worked the system, in schemes best summed up by an Enron insider's boast in a memorandum made public in May, that ``Enron gets paid for moving energy to relieve congestion without actually moving any energy or relieving any congestion.''How much of this was illegal, as opposed to simply amoral, remains to be seen. Unfortunately, California's response -- confusion, lawsuits and policy tweaks -- hasn't been sufficient.More unfortunately, even if the state suddenly did all the right things -- including a hard-nosed program designed to free ourselves from the gougers' grips -- we would need a willing federal partner. But it's foolish to think that the Bush administration would do much to help one of its least favorite states, or do anything that conflicts with its love of traditional, non-renewable energy sources.If the lawsuits against various energy companies and traders bear any fruit, the best we can expect is to pay off some of the massive debts the state amassed to prevent a total collapse in early 2001. That's a reasonable approach, but don't expect miracles.State policies are moving the wrong way on utility regulation, meanwhile. Instead of relentlessly pursuing smart deregulation -- still a good idea if it gives customers genuine choices -- state laws and regulations ``put the utilities back in the business of buying energy for captive customers,'' notes V. John White, executive director of the Sacramento-based Center for Energy Efficiency and Renewable Technologies (www.ceert.org).It's tempting to call for an outright state takeover of the utilities -- tempting but a bad idea. When there's genuine competition, as we could achieve in electricity generation, the private sector tends to do a better job. Instead of abandoning deregulation, California should find a way to inject real competition into the market.We do need to recognize that the current system of delivering electricity defies privatization, at least under current conditions. Smart regulation is essential.But the best response to gouging is to use less of what the gougers control. There are two ways: conservation and replacement. We need more of both.The best recent step is a new state law that slowly but surely ratchets up the use of electricity from renewables. By 2017, California's utilities will have to get 20 percent of their power from solar and other renewable sources. Several power companies are expected to do this even sooner.But this law has an element of old-line thinking, the captive-customer model we need to be getting away from, not sustaining. Lip service to newer ideas isn't enough.The state should be removing barriers to micro-generation systems, small generators that can run on a variety of fuels and provide decentralized, harder-to-disrupt electricity to homes and businesses. This technology is coming along fast. State policies are not keeping pace.Investing to save energy is increasingly the smartest move of all. California should be doing more to encourage this, whether through tax incentives or outright grants in low-income households. California hasn't done badly on conservation in a general sense, and energy customers did react to last year's soaring rates and blackouts by cutting back, but it's lunacy to wait for the next crisis when we can do something to avoid it altogether.Maybe this is all pointless. The Bush administration's energy policies, so grossly tilted toward the unholy trinity of oil, coal and nuclear, are making us all more vulnerable. Never mind what might happen if the coming war in Iraq goes badly.It's pointless to hope for a sane federal policy -- a crash program to drastically speed the inevitable transition to a hydrogen-based energy system. But the largest state, one of the world's major economies in its own right, does have some clout. We can hit the rip-off artists where it hurts, and protect ourselves from even more serious disruptions. Maybe next year.-- ----------------- R. A. Hettinga The Internet Bearer Underwriting Corporation 44 Farquhar Street, Boston, MA 02131 USA ""... however it may deserve respect for its usefulness and antiquity, [predicting the end of the world] has not been found agreeable to experience."" -- Edward Gibbon, 'Decline and Fall of the Roman Empire'--- end forwarded text -- ----------------- R. A. Hettinga The Internet Bearer Underwriting Corporation 44 Farquhar Street, Boston, MA 02131 USA ""... however it may deserve respect for its usefulness and antiquity, [predicting the end of the world] has not been found agreeable to experience."" -- Edward Gibbon, 'Decline and Fall of the Roman Empire'"
137,Ham,"re : fyi - wellhead portfolio who is considered to be on greg sharp ' s orig team ? if they have deals in the wellhead portfolio , do we need to move them out ? just double checking . dave - - - - - - - - - - - - - - - - - - - - - - forwarded by david baumbach / hou / ect on 04 / 11 / 2000 10 : 33 am - - - - - - - - - - - - - - - - - - - - - - - - - - - enron north america corp . from : brenda f herod 04 / 11 / 2000 10 : 09 am to : david baumbach / hou / ect @ ect cc : subject : re : fyi - wellhead portfolio great . keep in mind - some people continue to confuse "" wellhead portfolio "" with "" deals done by producer services . "" all that should be in the wellhead portfolio is truly wellhead deals - not deals done by greg sharp ' s origination teams at competitive points . does that make sense ? enron capital management from : david baumbach 04 / 11 / 2000 09 : 54 am to : brenda f herod / hou / ect @ ect cc : subject : fyi - wellhead portfolio i worked with tom acton last night to get the wellhead portfolio cleaned up . tom had a sheet from vance that we used to determine what deals should be in the portfolio . i believe the portfolio is now correct . the sitara team will move the deals we identified today . dave"
138,Ham,"rmmla / ads * * * * * * * * papers solicited for the 1998 rmmla conference * * * * * * * * * conjoint meeting : american dialect society : session chair , simonie hodges georgetown university 2525 farmcrest dr . # 328 herndon , va 20171 usa this session showcases papers on various aspects of american dialects . examples of previous paper topics include : dialects of utah , the use of formal and informal pronouns "" you "" in spanish speaking cities , jamaican english in historical plays , and sweet carbonated beverage isoglosses in the u . s . we hope that you will propose a paper for the 1998 rmmla ( rocky mountain modern language association ) conference in salt lake city . please address your proposal to the chair of the appropriate session . proposals based on a 300 - word abstract are due to the session chair no later than 15 february 1998 . these proposals must be sent on paper and on 3 . 5 "" disk ( preferably ibm - compatible format ) . if you would like the disk returned to you , please enclose a stamped , self - addressed envelope . you will be notified of the chair 's decision by 15 march 1998 . complete versions of accepted papers are due to the chair by 15 august ( paper and disk copy ) . visit the rmmla website at rmmla . wsu . edu / rmmla / callforpapers / call973 . asp for more details on the other topics at the conference . - guidelines for papers and presenters at the rmmla conference - - we would appreciate your following a few rmmla rules regarding papers presented at our conference . rmmla is an organization for its members . you must be a member in good standing to present a paper . your membership must be current by 1 april 1998 to have your name appear in the program . you may not read papers in more than one session . it is courteous to notify the chair if you submit to more than one session . if you have two papers accepted , please decide which you will give , and notify both chairs , as well as the rmmla secretariat . if we discover the duplication and are not able to reach you , we will have to choose for you . members who propose papers are expected to attend the convention to read at the scheduled time . no more than two members of the same institution may appear on any panel . no one 's name may appear on the program more than twice ( i . e . as a chair and a presenter ; appearance as a secretary is not considered ) . please notify the chair and the rmmla secretariat immediately if you find you are unable to present . it is the policy of the rmmla not to have papers read in absentia . ( nb : rmmla due dates represent dates for receipt . please allow adequate time when mailing overseas or to distant addresses . ) proposals for papers for the 1998 convention are due to the chairs no later than 15 february 1998 , because chairs must have the program copy for their sessions in the hands of the executive director by 1 march 1998 . this timeline is critical for setting and finalizing the program . thank you in advance for your cooperation ."
139,Ham,"re : testing ir & fx var nick and winston , i understand that ir & fx var numbers are calculated every day in risktrac . this results are overwritten everyday in the database table by the official numbers calculated with the old version of the code . for the consistent testing we need historical results for each ir and fx sub - portfolio . can we store the numbers every day ? tanya"
140,Ham,"The academic discipline of Software Engineering was launched at a conference
sponsored by NATO, at Garmisch, Germany, in October, 1968. Intriguingly, the
term Software Engineering was chosen to be deliberately provocative -- why
can't software be developed with the same rigor used by other engineering
disciplines?The proceedings of this conference are now available online, at:
http://www.cs.ncl.ac.uk/old/people/brian.randell/home.formal/NATO/index.htmlAlso, don't miss the pictures of attendees, including many significant
contributors to the field of Software Engineering:
http://www.cs.ncl.ac.uk/old/people/brian.randell/home.formal/NATO/N1968/inde
x.html- Jim
"
141,Ham,"re : 3 . 402 queries : language - speakers , syntax , texts i would like to address the issue of "" who speaks languages ? "" it seems to me that this is a big problem . while linguists study structures of various kinds , language teachers study literature , and , if they ' re lucky , pedagogy ( very few graduate schools offer any theoretical orientation to teaching to literature students , which is where most college language teachers come from ) . thus many college language teachers must teach without background ( and with resentment , for some ) while they research in a different area entirely . when some linguists teach languages , they teach structures , not speaking . thus , when taking an unusually-taught language under the auspices of a linguistics department , all we did was talk about structure , we never learned to speak it . talking about language was thrown out many years ago as a way to learn to speak ! neither group , unhappy literature teachers nor structure-happy linguists , are likely to improve the image of language learning in this country . leslie morgan morgan @ loyvax"
142,Ham,"a resume john , this is a resume i received today from my friend . please , take a look at it . what follows below is a copy of his message to me : dear vincent , i very much would like to ask you for a career advice . i am looking for new challenges and new professional opportunities . possibly there would be such opportunity around yourself at enron corporation . i trust that my strongest asset is my intellectual capital and ability to look from new angles into complex issues . beside of the experience of working under jacob goldfield an paul jacobson at goldman on the interest rate swaps and proprietary desks , i was a part of research effort of john meriwether group at salomon brothers , i headed the european interest options desk at dkbi in london and i have managed a small hedge fund in partnership with albert friedberg . i hold ph . d . in mathematics from mit and i have studied under nobel laureate in economics , bob merton . i very much would like to apply my knowledge of capital markets , trading and research in the field of energy markets . with my very best regards and personal wishes , mark kierlanczyk godel partners llc 67 wall street , suite 1901 new york , ny 10005 tel 212 943 5300 mkierlanczyk @ fmginy . com"
